Sample,X,Y,Z
427,0.312,0.125,1.055
428,0.031,-0.043,1.016
429,-0.176,0.031,0.898
430,-0.191,0.055,0.969
431,0.031,0.137,0.973
432,0.012,0.191,1.004
433,0.027,-0.219,1.078
434,-0.023,-0.117,1.031
435,0.055,-0.270,0.977
436,0.219,0.156,1.051
437,0.000,0.395,0.906
438,-0.047,0.191,0.926
439,0.117,-0.176,1.094
440,0.078,-0.023,0.918
441,0.129,0.215,1.020
442,0.066,-0.191,1.102
443,0.172,0.023,1.000
444,0.207,0.242,1.039
445,0.086,0.016,1.004
446,0.031,-0.020,1.090
447,-0.219,-0.027,0.891
448,-0.082,0.035,0.945
449,-0.055,0.160,0.922
450,-0.023,0.027,1.023
451,0.039,0.152,0.961
452,0.188,-0.203,1.203
453,0.156,0.074,0.957
454,0.000,0.199,1.020
455,-0.270,0.000,0.910
456,-0.172,0.082,0.918
457,-0.004,-0.012,1.059
458,-0.090,0.035,0.883
459,0.109,-0.039,1.145
460,0.195,-0.148,0.961
461,0.363,0.230,1.109
462,0.113,0.129,0.902
463,0.023,-0.016,1.148
464,-0.141,-0.145,0.801
465,0.062,0.004,1.156
466,0.023,0.059,0.867
467,0.094,0.141,1.066
468,0.066,0.062,0.973
469,0.160,0.047,1.027
470,0.246,0.184,0.969
471,0.277,0.160,1.078
472,-0.086,-0.055,1.023
473,-0.184,0.020,0.922
474,-0.148,-0.086,0.984
475,-0.043,0.082,0.996
476,-0.027,0.039,1.000
477,0.055,-0.508,1.125
478,0.090,0.051,0.977
479,-0.023,0.414,0.934
480,-0.012,0.121,0.949
481,0.301,0.203,1.133
482,0.137,-0.090,1.016
483,-0.090,-0.035,0.980
484,-0.238,-0.117,0.977
485,-0.191,0.070,0.949
486,0.156,-0.078,1.051
487,0.160,0.277,0.977
488,0.066,0.098,0.871
489,0.008,0.035,1.059
490,0.105,0.012,0.984
491,0.246,0.160,1.062
492,0.254,0.020,1.078
493,0.035,0.031,1.023
494,-0.293,0.012,0.828
495,-0.039,-0.152,1.090
496,0.145,0.043,0.973
497,0.289,0.254,1.008
498,0.090,0.098,1.000
499,0.023,-0.078,1.055
500,-0.012,0.078,0.957
501,-0.109,0.117,1.004
502,-0.086,-0.098,1.031
503,-0.109,-0.105,0.969
504,0.039,-0.121,1.027
505,0.133,0.328,0.969
506,0.180,0.270,1.004
507,0.070,0.148,0.941
508,0.020,-0.281,1.203
509,-0.254,-0.246,0.863
510,-0.066,0.188,1.020
511,-0.105,0.016,0.887
512,0.098,0.207,1.004
513,0.340,0.242,1.043
514,0.344,-0.309,1.180
515,0.105,0.438,0.840
516,-0.148,0.270,0.961
517,-0.035,-0.344,1.062
518,0.137,0.043,1.066
519,-0.086,-0.012,0.992
520,-0.234,-0.020,0.887
521,-0.094,-0.047,1.035
522,0.109,0.207,0.965
523,0.277,0.250,0.996
524,0.086,0.012,1.070
525,-0.105,-0.160,0.984
526,-0.051,-0.172,1.016
