Sample,X,Y,Z
495,-0.215,-0.246,1.004
496,-0.188,-0.004,0.965
497,-0.129,0.332,0.902
498,-0.008,-0.145,1.070
499,0.238,0.020,1.016
500,0.215,0.215,1.020
501,0.047,0.004,1.004
502,0.008,0.301,0.938
503,-0.066,-0.062,1.012
504,0.027,-0.141,1.051
505,0.129,-0.031,0.961
506,0.055,0.070,0.961
507,0.078,0.055,0.996
508,0.223,0.367,1.059
509,0.320,0.082,0.988
510,0.176,0.094,1.066
511,-0.078,-0.113,0.957
512,-0.148,-0.105,0.980
513,0.016,0.078,0.988
514,0.066,0.250,1.039
515,0.031,0.062,0.871
516,0.055,0.043,1.121
517,-0.031,-0.219,1.023
518,-0.121,0.035,0.922
519,-0.199,0.207,1.016
520,-0.191,-0.188,0.973
521,0.090,-0.078,1.105
522,0.090,0.207,0.992
523,0.117,-0.070,0.973
524,0.105,0.344,0.926
525,0.078,0.199,1.059
526,0.070,-0.066,1.004
527,0.078,-0.043,1.020
528,-0.074,-0.047,0.980
529,-0.055,0.059,0.965
530,0.047,0.086,1.074
531,0.012,0.172,0.961
532,0.020,0.047,0.832
533,0.133,0.059,1.117
534,0.074,0.035,0.945
535,0.113,-0.051,1.125
536,0.031,0.172,0.895
537,0.078,0.117,1.125
538,0.074,-0.086,0.922
539,0.133,-0.035,1.133
540,-0.156,-0.215,0.883
541,-0.109,0.008,0.945
542,-0.059,0.348,0.902
543,0.137,0.184,1.090
544,0.332,-0.086,1.066
545,0.180,-0.160,1.105
546,-0.133,-0.148,0.992
547,-0.316,0.113,0.891
548,-0.117,0.141,1.000
549,0.062,0.160,0.953
550,0.258,0.090,1.102
551,-0.039,-0.238,0.918
552,-0.066,0.211,1.062
553,-0.008,-0.043,1.016
554,0.148,0.035,1.016
555,0.141,0.207,0.953
556,-0.176,-0.125,0.934
557,-0.102,-0.098,0.973
558,0.008,0.316,0.867
559,0.254,0.090,1.098
560,0.324,0.230,1.008
561,0.102,-0.355,1.145
562,-0.102,-0.090,0.879
563,-0.105,0.414,0.980
564,-0.070,0.180,1.000
565,0.098,-0.070,1.074
