Sample,X,Y,Z
442,0.230,0.059,1.379
443,0.016,0.121,1.051
444,-0.059,0.109,0.867
445,-0.113,-0.516,1.039
446,0.191,-0.531,1.152
447,0.254,0.938,0.586
448,-0.246,0.363,0.641
449,-0.441,-0.258,1.008
450,-0.152,0.320,0.898
451,-0.137,0.000,0.918
452,-0.094,0.039,1.258
453,-0.004,0.020,0.957
454,0.211,-0.023,1.312
455,0.082,0.598,0.891
456,0.039,0.113,0.684
457,0.133,-0.277,1.211
458,0.027,-0.461,1.078
459,0.301,-0.617,1.000
460,0.289,-0.109,1.133
461,-0.141,-0.016,0.957
462,-0.172,0.230,1.137
463,0.055,0.070,1.141
464,0.129,-0.102,1.172
465,0.102,0.098,0.793
466,0.117,-0.203,0.977
467,0.395,-0.051,1.422
468,-0.109,0.516,0.430
469,-0.211,0.680,0.547
470,-0.402,0.406,1.047
471,-0.289,-0.590,1.102
472,0.062,0.457,0.957
473,0.008,0.289,1.094
474,-0.230,-0.426,1.152
475,-0.094,0.258,1.156
476,0.020,0.520,0.480
477,0.445,-0.324,1.352
478,0.207,-0.074,0.949
479,0.070,0.449,0.539
480,0.066,-0.426,1.254
481,-0.102,-1.012,1.238
482,0.191,0.438,1.004
483,0.039,-0.051,1.125
484,0.082,-0.379,1.238
485,0.316,0.723,1.086
486,0.324,0.059,1.148
487,0.008,-0.414,0.793
488,0.020,-0.133,0.848
489,-0.086,-0.207,0.980
490,-0.184,-0.098,0.848
491,-0.293,0.680,0.797
492,-0.566,0.730,0.699
493,-0.195,-0.379,1.293
494,0.418,-0.324,1.473
495,0.301,0.824,0.504
496,0.137,-0.082,1.184
497,-0.223,-0.348,1.410
498,-0.102,0.535,0.328
499,0.289,0.070,0.922
500,-0.039,-0.879,1.445
501,-0.223,-0.176,0.812
502,0.031,0.602,0.930
503,-0.086,-0.270,0.996
504,0.285,0.035,1.223
505,0.461,1.098,1.090
506,0.270,0.191,0.938
507,0.195,-0.531,1.238
508,-0.031,-0.059,1.020
509,0.078,-0.738,0.688
510,0.375,-0.176,1.309
511,-0.125,0.805,0.746
512,-0.332,0.180,0.605
513,-0.430,0.574,1.043
514,-0.234,0.156,0.930
515,0.207,-0.148,1.328
516,0.125,0.289,1.305
517,-0.141,-0.113,0.719
518,0.039,-0.219,1.254
519,0.164,0.273,0.984
520,0.379,-0.184,0.887
521,0.297,-0.008,0.891
522,-0.027,-0.301,0.746
523,-0.152,-0.109,1.207
524,-0.246,-0.148,0.598
525,0.207,0.711,1.207
526,0.176,0.027,1.242
527,0.199,0.078,0.910
528,0.254,0.738,0.977
529,0.277,-0.297,1.391
530,0.191,-0.680,0.977
531,0.305,0.340,0.930
532,-0.039,-0.383,0.719
533,-0.410,-0.566,1.156
534,-0.559,0.020,0.918
535,-0.133,-0.074,0.969
536,0.086,-0.348,1.309
537,-0.098,0.773,0.738
538,0.023,0.941,0.852
539,0.152,-0.688,1.461
540,0.309,0.617,0.906
541,0.348,0.926,0.516
542,0.246,-0.715,1.426
543,-0.129,0.328,0.676
544,-0.043,0.293,0.820
545,-0.156,-0.934,1.250
546,-0.016,0.074,0.926
547,0.195,0.035,1.203
548,0.090,-0.312,1.109
549,0.195,0.430,0.906
550,0.348,0.289,1.062
551,0.242,0.102,0.988
552,0.117,0.281,0.633
553,-0.039,0.215,1.082
554,-0.230,-0.629,1.195
555,-0.207,-0.332,0.957
556,-0.008,0.227,1.129
557,-0.168,-0.492,1.156
558,-0.160,0.293,1.020
559,0.004,0.676,0.922
560,-0.051,-0.238,1.078
561,-0.121,-0.078,1.031
562,0.051,0.250,0.812
563,0.098,0.531,0.883
564,0.188,-0.527,1.227
565,-0.008,1.004,0.492
566,0.062,0.566,0.820
567,-0.027,-0.582,1.414
568,0.324,0.109,0.906
569,0.449,0.453,0.848
570,0.133,-0.824,1.320
571,-0.125,0.312,0.738
572,0.184,0.332,0.953
573,0.043,-0.230,1.008
574,0.039,0.059,1.020
575,0.074,-0.281,1.316
576,-0.094,-0.750,1.184
577,-0.055,-0.195,1.051
578,0.059,-0.051,1.242
579,0.051,-0.105,0.984
580,-0.051,0.508,0.836
581,-0.207,0.535,0.781
582,-0.273,-0.348,1.082
583,-0.207,-0.320,0.859
584,0.000,0.602,0.727
585,0.184,0.434,1.059
586,0.094,-0.230,1.160
587,-0.062,1.008,0.688
588,0.164,0.266,0.824
589,0.059,-0.531,1.484
590,0.164,0.160,0.941
591,0.164,0.160,0.941
592,0.277,0.172,0.645
593,0.094,-0.699,1.230
594,-0.051,0.023,1.020
595,0.133,0.340,0.805
596,0.031,0.215,0.988
597,0.051,-0.277,1.172
598,0.125,0.113,1.438
599,0.031,-0.438,1.023
600,-0.094,0.059,1.055
601,-0.055,-0.105,1.039
602,0.152,-0.293,1.121
603,-0.055,0.891,0.656
604,-0.203,0.238,0.746
605,-0.238,-0.727,1.047
606,-0.121,0.078,1.129
607,-0.043,0.344,0.621
608,0.141,0.246,1.270
609,-0.020,-0.184,1.305
610,-0.078,1.027,0.449
611,0.293,0.336,1.039
612,0.109,-0.520,1.328
613,0.176,0.078,0.762
614,0.215,0.090,0.770
615,0.215,0.090,0.770
616,-0.016,-0.430,1.105
617,-0.152,-0.184,0.980
618,0.117,0.543,1.133
619,-0.039,0.172,0.875
620,0.039,-0.488,1.445
621,-0.062,-0.246,1.152
622,0.125,-0.281,1.027
623,0.332,-0.195,1.230
624,0.051,0.379,0.852
625,-0.098,0.148,0.723
626,-0.215,0.492,0.832
627,-0.273,-0.406,0.934
628,-0.125,-0.309,0.992
629,-0.090,0.137,1.086
630,-0.129,0.227,1.113
631,0.172,0.223,0.953
632,0.199,0.465,1.246
633,0.062,0.148,0.781
634,0.238,-0.031,0.867
635,-0.008,-0.125,1.164
636,0.000,-0.203,0.758
637,0.160,0.074,0.930
638,-0.148,-0.031,1.086
639,-0.148,-0.031,1.086
640,-0.176,-0.203,0.703
641,0.234,0.551,1.312
642,0.125,-0.059,1.242
643,0.066,0.016,0.844
644,0.156,0.383,1.262
645,0.184,-0.742,1.141
646,0.242,-0.031,1.168
647,-0.203,0.742,0.527
648,-0.246,0.004,0.691
649,-0.262,-0.328,1.504
650,-0.273,-0.035,0.680
651,0.168,0.137,0.695
652,0.195,-0.242,1.805
653,-0.238,0.082,0.809
654,0.219,0.754,0.598
655,0.191,0.035,1.332
656,-0.008,-0.109,0.734
657,0.191,0.367,0.887
658,0.000,0.059,0.805
659,-0.016,-0.461,0.789
660,0.082,-0.055,1.277
661,-0.059,0.250,0.906
662,0.121,-0.277,0.996
663,0.191,0.031,1.367
664,0.066,0.312,1.121
665,0.156,-0.047,0.949
666,0.164,0.047,1.188
667,0.125,-0.289,1.184
668,0.098,-0.547,0.922
669,0.000,0.371,0.680
670,-0.230,0.191,0.703
671,-0.219,-0.449,1.430
672,-0.199,0.039,0.738
673,0.125,0.613,0.586
674,0.047,-0.062,1.426
675,-0.211,-0.117,1.387
676,0.090,0.414,0.555
677,0.164,0.504,0.949
678,0.113,-0.562,1.223
679,0.383,-0.301,1.246
680,0.223,0.219,0.297
681,0.070,-0.344,1.168
682,-0.461,-0.434,1.273
683,-0.320,0.359,0.562
684,0.184,0.512,1.109
685,0.137,-0.523,1.691
686,0.070,-0.098,0.809
687,0.398,1.043,0.984
688,0.430,-0.188,1.031
689,0.223,0.242,0.887
690,-0.133,1.059,0.375
691,-0.121,-0.344,1.059
692,-0.219,-0.867,1.301
693,-0.328,0.297,0.969
694,-0.285,-0.047,0.746
695,-0.031,-0.684,1.484
696,0.109,0.602,1.230
697,0.070,0.613,0.656
698,0.254,-0.473,1.418
699,-0.020,0.629,0.734
700,0.031,0.027,0.711
701,0.250,-0.809,1.422
702,0.176,-0.129,0.660
703,-0.035,-0.016,0.988
704,-0.406,-0.348,1.195
705,0.125,0.086,0.848
706,0.426,0.438,1.188
707,0.172,-0.207,1.066
708,0.219,0.355,0.965
709,0.051,0.344,1.121
710,-0.195,-0.047,0.566
711,0.223,0.945,1.125
712,0.105,-0.453,1.160
713,-0.074,0.020,0.711
714,-0.094,0.516,1.129
715,-0.102,-1.398,1.375
716,0.211,0.062,1.051
717,-0.004,0.820,0.695
718,-0.246,-0.223,1.062
719,-0.309,0.102,1.094
720,-0.195,0.473,0.625
721,0.238,0.219,0.988
722,0.168,-0.289,1.273
723,0.051,-0.035,0.891
724,0.082,0.613,1.027
725,0.000,-0.586,1.074
726,0.184,0.113,1.055
727,0.145,0.453,1.199
728,0.016,-0.621,0.723
729,0.281,0.207,1.156
730,-0.055,0.035,1.031
731,-0.094,-0.086,0.848
732,0.320,0.531,0.914
733,0.223,-0.301,1.230
734,0.043,0.055,1.035
735,0.137,0.348,0.812
736,0.082,-0.090,1.137
737,-0.277,0.289,0.855
738,-0.258,0.301,0.758
739,0.074,-0.461,1.293
740,-0.082,-0.133,1.016
741,-0.168,0.223,0.797
742,-0.148,-0.070,1.117
743,-0.039,-0.488,1.258
744,0.031,0.109,0.906
745,0.094,0.141,0.988
746,0.203,-0.586,1.438
747,-0.016,0.430,0.828
748,0.188,0.738,0.586
749,0.355,-0.508,1.297
750,0.098,0.344,1.000
751,0.070,0.695,0.383
752,0.238,-0.203,1.410
753,0.160,-0.242,1.125
754,0.273,0.406,0.902
755,-0.090,0.301,1.023
756,-0.199,-0.805,0.980
757,0.070,0.188,1.055
758,0.012,0.691,0.820
759,0.012,0.691,0.820
760,-0.027,-0.094,0.832
761,-0.141,0.461,1.125
762,-0.332,-0.078,1.004
763,-0.129,-0.199,1.020
764,-0.113,0.066,1.219
765,-0.230,-0.297,1.023
766,-0.043,0.215,1.082
767,-0.051,-0.230,1.164
768,0.039,-0.180,0.738
769,0.238,-0.035,1.270
770,-0.090,-0.211,0.789
771,0.406,0.602,0.758
772,0.297,-0.129,1.234
773,0.004,0.012,0.879
774,0.367,0.695,0.777
775,0.152,-0.016,1.336
776,0.152,-0.180,1.066
777,0.254,0.293,0.906
778,0.055,-0.270,0.883
779,0.051,-0.125,1.180
780,-0.109,0.180,0.926
781,-0.199,0.277,0.586
782,-0.176,-0.125,1.000
783,-0.176,-0.359,1.398
784,-0.039,-0.195,1.035
785,-0.066,0.332,1.008
786,-0.156,-0.148,1.117
787,0.020,-0.266,1.215
788,-0.016,0.520,0.777
789,0.059,0.023,0.859
790,-0.012,-0.348,0.926
791,0.047,-0.078,1.262
792,-0.121,0.125,0.512
793,0.273,-0.020,1.098
794,0.227,0.059,1.266
795,0.141,0.316,0.992
796,0.316,0.281,0.805
797,0.445,-0.070,1.379
798,-0.020,-0.309,0.930
799,0.098,0.246,0.926
800,0.066,-0.055,0.750
801,-0.031,-0.512,1.242
802,-0.227,0.730,0.715
803,-0.133,0.660,0.625
804,-0.148,-0.496,1.309
805,-0.105,0.016,1.406
806,0.105,0.242,0.605
807,0.227,-0.035,1.527
808,-0.277,-0.301,1.023
809,-0.051,0.090,0.859
810,-0.090,0.152,0.719
811,-0.082,-0.316,1.000
812,0.055,-0.211,0.934
813,0.016,0.301,1.074
814,-0.012,-0.207,0.844
815,0.234,-0.195,1.230
816,0.230,0.324,1.082
817,0.211,0.223,1.113
818,0.277,-0.070,1.316
819,0.066,-0.078,0.609
820,-0.023,0.141,1.090
821,0.070,-0.477,1.031
822,0.238,0.227,0.742
823,-0.246,0.457,0.590
824,-0.238,0.051,1.180
825,0.043,-0.230,1.012
826,-0.039,0.602,0.879
827,-0.121,0.133,1.215
828,0.023,-0.629,1.395
829,0.160,-0.141,1.008
830,-0.039,0.781,0.879
831,-0.039,0.781,0.879
832,-0.070,-0.652,0.980
833,0.113,-0.469,1.297
834,-0.219,0.336,0.527
835,0.059,-0.387,0.875
836,0.156,-0.355,1.480
837,-0.145,0.500,0.941
838,0.059,0.281,0.789
839,0.238,0.625,1.281
840,0.320,-0.414,1.184
841,0.270,0.895,0.793
842,0.309,0.203,0.797
843,-0.121,-0.531,1.043
844,-0.340,-0.090,0.969
845,-0.184,0.137,0.441
846,0.160,-0.336,1.328
847,-0.254,0.277,1.066
848,-0.113,0.633,0.777
849,0.086,0.414,1.266
850,0.176,-0.398,1.477
851,0.305,0.559,0.930
852,0.215,-0.117,1.098
853,-0.102,-0.156,0.848
854,-0.035,0.203,0.930
855,-0.102,-0.312,0.930
856,-0.230,-0.223,0.770
857,-0.059,-0.176,1.062
858,-0.055,-0.211,1.090
859,0.039,0.422,1.074
860,0.160,0.172,0.980
861,0.113,0.613,1.039
862,0.145,0.078,1.117
863,0.426,0.039,1.160
864,0.445,-0.480,0.941
865,-0.086,-0.164,0.645
866,-0.062,-0.359,1.164
867,-0.379,-0.023,0.824
868,-0.207,0.484,0.668
869,0.016,0.336,1.117
870,0.141,-0.895,1.465
871,0.219,0.992,0.863
872,0.125,0.797,0.867
873,0.008,-0.555,1.355
874,0.109,0.070,1.039
875,0.215,0.262,0.691
876,0.066,-0.477,0.965
877,-0.289,-0.480,1.156
878,-0.430,-0.168,0.707
879,-0.023,-0.047,0.945
880,-0.078,-0.117,1.215
881,-0.020,0.223,1.055
882,0.098,0.648,1.145
883,0.066,0.227,1.055
884,0.352,0.242,1.129
885,0.242,0.402,0.957
886,0.137,-0.270,0.691
887,0.168,-0.051,1.086
888,-0.168,-0.395,0.965
889,-0.180,0.016,0.781
890,0.105,0.496,1.090
891,0.055,-0.852,1.340
892,0.094,0.254,1.004
893,0.074,0.695,1.074
894,-0.027,-0.273,0.898
895,0.184,1.148,0.828
896,0.266,0.738,0.918
897,0.098,-0.340,1.043
898,-0.152,0.613,0.812
899,-0.242,-0.148,0.965
900,-0.137,-0.992,1.281
901,-0.156,0.039,0.918
902,-0.016,0.465,0.883
