Sample,X,Y,Z
473,0.230,-0.238,0.973
474,0.230,0.062,0.863
475,-0.184,0.098,0.680
476,-0.477,-0.672,0.977
477,-0.359,-0.148,0.727
478,0.148,0.328,1.188
479,0.066,0.348,1.246
480,0.117,0.395,0.930
481,0.398,-0.086,1.594
482,0.246,-0.516,1.125
483,0.590,-0.270,0.957
484,0.402,0.145,0.973
485,-0.129,0.027,0.500
486,-0.234,0.230,0.715
487,-0.449,0.434,0.891
488,-0.184,-0.449,1.000
489,-0.043,0.500,1.070
490,-0.039,0.629,1.172
491,0.152,0.137,1.582
492,0.133,0.215,0.988
493,0.234,-0.102,0.938
494,0.363,-0.391,1.117
495,0.195,-0.148,0.676
496,-0.035,0.168,0.652
497,-0.355,-0.395,0.793
498,-0.434,-0.566,0.801
499,-0.055,0.418,1.113
500,0.098,0.199,1.164
501,0.219,0.598,1.309
502,0.207,0.645,1.082
503,0.324,-0.117,1.410
504,0.516,-0.227,1.102
505,0.527,-0.082,0.727
506,0.145,0.199,0.848
507,-0.406,-0.184,0.652
508,-0.379,-0.473,0.988
509,-0.477,-0.043,0.754
510,-0.230,-0.578,1.348
511,-0.074,-0.164,1.176
512,0.328,0.375,1.359
513,0.328,0.574,0.953
514,0.250,0.859,0.941
515,0.070,0.180,0.969
516,0.180,-0.199,0.863
517,0.125,0.125,0.562
518,-0.004,-0.176,1.074
519,-0.316,-0.023,0.746
520,-0.168,-0.156,1.109
521,-0.031,-0.172,1.188
522,0.223,0.168,1.195
523,0.230,-0.199,1.242
524,0.238,-0.047,1.180
525,0.328,0.105,0.871
526,0.316,0.188,0.684
527,0.289,0.074,0.965
528,-0.109,0.418,0.789
529,-0.438,0.191,0.465
530,-0.375,-0.641,1.418
531,-0.277,-0.363,1.422
532,0.203,-0.324,1.105
533,0.426,0.012,1.543
534,-0.105,0.602,0.836
535,-0.012,0.234,1.074
536,-0.133,0.188,0.719
537,0.137,-0.297,0.992
538,-0.012,-0.137,0.684
539,-0.219,0.449,0.859
540,-0.039,0.082,0.934
541,0.109,0.285,1.082
542,0.191,0.723,0.742
543,0.340,0.023,1.410
544,0.082,0.102,0.918
545,0.219,0.219,0.969
546,0.156,-0.016,1.012
547,0.109,-0.430,1.023
548,-0.020,0.031,0.715
549,-0.078,0.051,0.879
550,-0.125,-0.324,1.168
551,-0.152,0.066,1.102
552,-0.047,0.102,1.148
553,0.082,-0.820,1.547
554,0.016,-0.434,1.062
555,0.293,0.500,1.004
556,0.180,-0.055,1.141
557,-0.234,0.195,0.660
558,-0.332,0.555,0.453
559,-0.133,-0.797,1.188
560,-0.047,-0.039,0.984
561,0.066,0.785,0.531
562,0.109,0.180,1.312
563,-0.145,0.449,0.992
564,0.156,0.352,1.090
565,0.184,0.133,1.164
566,0.328,-0.508,0.965
567,0.230,0.074,1.047
568,0.059,0.023,0.883
569,-0.016,-0.727,0.785
570,-0.027,0.402,0.945
571,-0.180,0.078,1.031
572,-0.133,-0.121,0.961
573,0.004,0.555,1.188
574,-0.031,-0.656,1.340
575,0.160,-0.234,1.352
576,0.305,0.199,1.082
577,0.266,-0.090,1.059
578,-0.176,0.582,0.680
579,-0.328,0.176,0.672
580,-0.309,-0.418,0.699
581,0.031,-0.277,1.387
582,-0.148,0.316,0.762
583,-0.055,0.332,0.867
584,0.062,0.164,1.363
585,-0.109,0.715,0.746
586,0.312,0.348,0.965
587,0.441,-0.203,1.406
588,0.219,-0.086,0.754
589,0.227,-0.102,0.980
590,-0.156,0.133,0.859
591,-0.184,-0.508,0.977
592,-0.270,0.270,0.852
593,-0.105,0.086,1.016
594,0.148,-0.414,1.531
595,-0.020,0.297,1.027
596,0.125,0.266,0.848
597,0.398,-0.875,1.574
598,0.180,0.242,1.043
599,0.000,0.828,0.230
600,-0.180,-0.090,1.160
601,-0.461,-0.820,1.082
602,-0.227,0.406,0.363
603,0.184,0.000,1.438
604,-0.301,-0.348,1.246
605,-0.047,0.266,0.699
606,0.266,0.609,1.238
607,0.121,-0.180,1.008
608,0.359,0.109,1.059
609,0.156,0.309,0.969
610,-0.117,-0.438,0.605
611,-0.020,-0.059,1.195
612,-0.184,0.102,0.883
613,0.023,-0.242,0.938
614,0.129,0.293,1.074
615,0.109,0.078,1.211
616,0.223,-0.148,1.031
617,0.090,0.527,1.062
618,0.062,0.008,0.844
619,0.180,-0.461,1.367
620,-0.125,0.258,0.844
621,-0.074,0.531,0.613
622,-0.156,-0.484,1.172
623,-0.344,-0.336,1.148
624,-0.051,0.508,0.531
625,0.359,-0.121,1.520
626,-0.066,-0.141,1.184
627,0.004,0.594,0.844
628,-0.125,0.496,0.785
629,0.102,-0.258,1.090
630,0.363,-0.184,1.246
631,0.113,0.109,0.461
632,0.125,-0.152,0.918
633,-0.188,-0.219,1.320
634,-0.105,0.160,0.684
635,0.367,0.738,1.078
636,0.160,-0.445,1.484
637,-0.098,-0.461,0.867
638,0.207,0.734,1.027
639,0.191,-0.160,1.066
640,0.160,0.176,0.883
641,-0.023,0.707,0.738
642,0.020,-0.723,1.156
643,-0.074,-0.504,0.996
644,-0.164,0.184,0.902
645,-0.312,-0.184,1.078
646,-0.121,-0.406,1.148
647,0.070,0.348,0.973
648,0.094,0.211,1.082
649,0.102,-0.242,1.047
650,0.105,0.672,0.801
651,0.164,-0.078,1.039
652,0.199,-0.875,1.172
653,0.004,0.289,0.602
654,-0.004,-0.137,1.137
655,-0.145,-0.676,1.309
656,0.043,0.547,0.734
657,0.191,0.418,1.043
658,-0.051,-0.367,1.340
659,0.094,0.242,0.688
660,0.605,0.461,1.156
661,0.145,0.207,0.758
662,-0.086,0.938,0.609
663,-0.008,0.301,1.242
664,-0.152,-0.879,1.023
665,0.027,0.070,1.008
666,-0.281,0.422,0.930
667,-0.312,-1.340,1.395
668,-0.137,-0.203,1.043
669,0.168,1.398,0.559
670,0.387,-0.684,1.508
671,-0.102,-0.148,1.031
672,-0.195,1.445,0.223
673,0.203,-0.906,1.297
674,0.234,-0.609,1.660
675,-0.023,0.539,0.211
676,0.121,0.000,1.270
677,-0.090,-0.801,1.336
678,0.094,0.137,0.676
679,0.242,1.152,0.770
680,0.008,-0.582,1.281
681,-0.055,-0.121,0.895
682,0.152,1.129,0.809
683,0.066,-0.039,0.941
684,0.199,-0.141,1.422
685,-0.129,0.312,0.734
686,0.070,-0.277,1.242
687,0.145,-0.777,1.391
688,0.039,0.023,0.641
689,-0.031,0.680,0.918
690,-0.352,-0.383,1.098
691,-0.289,-0.043,0.734
692,0.117,0.703,0.973
693,-0.137,-0.258,1.027
694,0.070,0.000,1.078
695,0.219,0.535,0.777
696,0.180,-0.152,1.305
697,0.098,-0.039,1.172
698,0.020,-0.051,0.793
699,0.027,0.027,1.121
700,0.035,-0.172,0.941
701,0.180,-0.266,1.203
702,-0.074,0.359,0.695
703,0.082,-0.172,0.941
704,0.180,0.082,1.305
705,0.285,0.371,0.969
706,0.117,0.359,0.883
707,-0.062,-0.367,1.105
708,-0.031,-0.172,1.031
709,0.082,0.574,0.852
710,-0.191,0.586,0.688
711,-0.250,0.184,0.738
712,-0.016,-0.129,1.453
713,0.039,-0.621,1.000
714,0.090,0.266,0.863
715,-0.078,-0.078,1.266
716,-0.172,-0.512,1.223
717,0.055,0.184,0.938
718,0.051,0.219,0.938
719,0.082,-0.656,1.117
720,0.062,0.379,1.344
721,-0.070,0.301,0.527
722,0.352,0.418,0.848
723,0.422,0.016,1.473
724,0.117,0.270,0.586
725,0.473,0.605,0.809
726,0.082,-0.164,1.227
727,-0.172,-0.367,1.098
728,-0.023,0.691,0.766
729,-0.066,-0.332,0.797
730,-0.156,-0.555,1.316
731,-0.086,0.082,1.152
732,0.125,0.457,0.605
733,-0.137,0.617,1.066
734,-0.570,0.008,0.977
735,-0.023,-0.445,1.160
736,0.125,-0.125,1.023
737,-0.027,0.207,1.086
738,-0.172,-0.055,1.047
739,-0.172,-0.508,1.199
740,-0.086,0.316,0.617
741,0.266,-0.496,1.184
742,0.121,-0.250,1.215
743,0.078,0.500,0.645
744,0.258,0.402,1.027
745,0.301,0.137,0.973
746,0.352,0.137,1.035
747,0.203,0.430,0.941
748,0.230,0.184,0.840
749,0.254,-0.238,1.297
750,0.004,-0.055,0.965
751,-0.082,0.039,0.641
752,-0.176,0.039,1.156
753,-0.328,-0.684,1.215
754,-0.133,0.199,0.859
755,0.023,0.539,1.035
756,-0.035,-0.516,1.230
757,-0.070,0.016,1.133
758,-0.137,0.594,0.648
759,0.008,-0.090,1.043
760,-0.066,-0.227,1.277
761,-0.195,-0.055,0.539
762,-0.035,0.395,0.859
763,-0.023,-0.738,1.480
764,0.074,0.113,0.984
765,0.258,0.504,0.691
